work_year,experience_level_encoded,company_size_encoded,remote_ratio,job_Data_Engineer,job_Data_Scientist,job_ML_AI_Engineer,job_Manager_Lead,job_Other,salary_in_usd
2025,2,1,0,1,0,0,0,0,143100
2023,0,1,100,1,0,0,0,0,43064
2023,2,1,0,1,0,0,0,0,220000
2024,1,1,0,0,1,0,0,0,106000
2025,2,1,0,0,1,0,0,0,274400
2024,1,1,0,1,0,0,0,0,85000
2025,2,1,0,1,0,0,0,0,162178
2024,1,1,100,1,0,0,0,0,117120
2024,1,1,0,0,0,0,1,0,225000
2024,2,1,0,0,1,0,0,0,200000
2023,2,1,0,1,0,0,0,0,170000
2023,1,1,0,0,0,0,0,0,92000
2024,0,1,0,0,1,0,0,0,116000
2024,1,1,0,0,1,0,0,0,296000
2022,2,1,100,0,1,0,0,0,100000
2025,2,1,100,1,0,0,0,0,187000
2024,1,1,100,1,0,0,0,0,80000
2025,1,1,0,1,0,0,0,0,262000
2025,1,1,0,0,0,0,0,1,227000
2024,2,1,0,1,0,0,0,0,282000
2023,0,1,0,0,1,0,0,0,47840
2025,2,1,0,0,0,0,0,0,82256
2025,2,1,0,1,0,0,0,0,264000
2023,1,1,100,1,0,0,0,0,50000
2024,1,2,0,1,0,0,0,0,139100
2024,2,1,0,1,0,0,0,0,122200
2025,2,1,0,0,0,0,0,0,161000
